,Rank,Song,Artist,Album,Release Date,Popularity,Duration (ms),Explicit,Track ID,Preview URL,Track Number,Continent,Country,Artist Photo URL
0,1,APT.,ROSÉ,APT.,2024-10-18,94,169917,False,5vNRhkKd0yEAg8suGBpjeY,https://p.scdn.co/mp3-preview/6b7763066dd42d94dc893f12bb135d7d5392e386?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178727a1f1f508238a20ac9fdbf
1,2,Love Me Again,V,Layover,2023-08-11,86,182293,False,2N0SPREDYqILVEFSsWF5N5,https://p.scdn.co/mp3-preview/7cf9f9fce7c6ea14a19134d84a3034fef7067f0a?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1788e7d00d3aae87cf8fc6946e2
2,3,Who,Jimin,MUSE,2024-07-19,92,170887,False,7tI8dRuH2Yc6RuoTjxo4dU,https://p.scdn.co/mp3-preview/02687a01e9ec00f4e947f39e910c7e0c6fa83e10?cid=0bb3eb6005f44507983d0b4982473814,6,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178cb08296cca5a2d197caabb79
3,4,Mantra,JENNIE,Mantra,2024-10-10,88,136627,True,2CspwnypzT7rcWI9RfsoSb,https://p.scdn.co/mp3-preview/58b05e8438c0ed7316e85fed6267f467612efa06?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178cab652097be01bf194cdf11d
4,5,Whiplash,aespa,Whiplash - The 5th Mini Album,2024-10-21,76,183226,False,6uPnrBgweGOcwjFL4ItAvV,https://p.scdn.co/mp3-preview/cef9eef942b2a5f9cde819ba21f01fdc655395c8?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178f7a1090ad3a35a34fc0ecb57
5,6,FRI(END)S,V,FRI(END)S,2024-03-15,86,148082,False,0PBTlQ84CBJF0tBnKGmQa6,https://p.scdn.co/mp3-preview/16b48678c9055a80ccd96205052682890b3d98a0?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1788e7d00d3aae87cf8fc6946e2
6,7,UP - KARINA Solo,aespa,SYNK : PARALLEL LINE - Special Digital Single,2024-10-09,81,166640,False,5sjnkOfTLCLNfkkchI2re2,https://p.scdn.co/mp3-preview/c196a85dd94b68af028cfb022a5b8874317b3b7f?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178f7a1090ad3a35a34fc0ecb57
7,8,Cherish (My Love),ILLIT,Cherish (My Love) (Remixes),2024-10-28,0,176854,False,21LtZQQMQYwVIxc9O9Ygq8,https://p.scdn.co/mp3-preview/13d4c235714d9b62d5288e8147e5f062eb5fedc2?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17832863b8dca4574c09e4b9295
8,9,Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,100,251667,False,2plbrEY59IikOBgBGLjaoe,,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1784b09cd0839c6129c29d22f79
9,10,Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),2024-10-03,89,155757,False,3yDRcs0Y4pPzkvMbUfeF9H,https://p.scdn.co/mp3-preview/c5f0c62bf441704559d8937425eaf732b1e09d79?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178426faee7010fa829bb527cfb
10,11,運轉人生 - 影集《華麗計程車行》插曲,邱軍,情歌手,2024-02-23,63,208274,False,30slz6D2PtbwDimGJaEVsH,https://p.scdn.co/mp3-preview/42029e5f7382885493d3872413f3b13bc4de3af5?cid=0bb3eb6005f44507983d0b4982473814,4,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1781c9eabc018b413fa52390b37
11,12,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,98,210373,False,6dOtVTDdiauQNBQEDOtlAB,,4,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1784a21b4760d2ecb7b0dcdc8da
12,13,擱淺,Jay Chou,七里香,2004-08-03,60,238133,False,56mzU03ZesV0iRroHR2K04,https://p.scdn.co/mp3-preview/2e28d2cb09413d1371d167cb5c1a9413c5006901?cid=0bb3eb6005f44507983d0b4982473814,6,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17802b3aa55ba238b2ceafb09da
13,14,"LOVE, MONEY, FAME (feat. DJ Khaled)",SEVENTEEN,SEVENTEEN 12th Mini Album 'SPILL THE FEELS',2024-10-14,79,186386,False,145tqlcE6YFsjNfxi9K3AE,https://p.scdn.co/mp3-preview/8dbabfc916c1097400df2dd84c6162226c451973?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1788912a840e637dacc0d5c7828
14,15,I'll Be There,Jin,I'll Be There,2024-10-25,82,181677,False,2Qcbspnftnon37jibwyvMU,https://p.scdn.co/mp3-preview/986d45307a67d89e75212dc22dd8668d9867604e?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178ca4f165e62fbf5ab5a3750ba
15,16,Slow Dancing,V,Layover,2023-09-08,79,187026,False,5h1BN75CEh8wdSwE1xrbSe,https://p.scdn.co/mp3-preview/0a655b364caef39379d42b81d656fabed20539d6?cid=0bb3eb6005f44507983d0b4982473814,4,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1788e7d00d3aae87cf8fc6946e2
16,17,離開的一路上,理想混蛋,半熟理想,2023-10-27,64,254961,False,1NoDTQhJsrd5rnpb6PQthK,https://p.scdn.co/mp3-preview/c1d310c59ebaf7e9266681c38190a5a056498e9f?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178328fd29f4d50fc8ce7908d90
17,18,Magnetic,ILLIT,SUPER REAL ME,2024-03-25,84,160688,False,1aKvZDoLGkNMxoRYgkckZG,https://p.scdn.co/mp3-preview/b3e85d7434b5fb072c7110197b3b896d04aa90e7?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17832863b8dca4574c09e4b9295
18,19,晴天,Jay Chou,葉惠美,2003-07-29,59,269746,False,2zjo2j5j3S0Nk21LKCgc8L,https://p.scdn.co/mp3-preview/e6d81b0f9fbfdc3224d549cdcbfab55320ea2165?cid=0bb3eb6005f44507983d0b4982473814,3,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17802b3aa55ba238b2ceafb09da
19,20,Supernova,aespa,Armageddon - The 1st Album,2024-05-27,73,178880,False,2VdSktBqFfkW7y6q5Ik4Z4,https://p.scdn.co/mp3-preview/fae5cb7ad4fe231a7537745c6e82a0b594fcca77?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178f7a1090ad3a35a34fc0ecb57
20,21,Touch,KATSEYE,Touch,2024-07-26,86,129882,False,6aJn7Cst74cj4lNIiPRgav,,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178031e8e2a9c4893810a02f863
21,22,Run Away,TZUYU,abouTZU,2024-09-06,73,198320,False,2Ti4DCTo6Ag7QvaYex8A8B,https://p.scdn.co/mp3-preview/a1c90c833e9d1e6313a053ae4afea21990b6887c?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1782b714d68a9dbb8cd6ea11901
22,23,在加納共和國離婚,Firdhaus,在加納共和國離婚,2023-08-14,67,261000,False,6GyUt7yJ0sOktc5HjvVnFh,https://p.scdn.co/mp3-preview/e3a8452339a69aea0e4abbe741336f8c6a4ccbf4?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1786f9e419c4ae583483afcd152
23,24,愛情的大壞蛋,Amazing Show,Amazing Show同名專輯,2024-09-30,59,187266,False,5HVq8nS0pbM6G7YK8M7DY4,https://p.scdn.co/mp3-preview/e1e53e541543ac254630fef3e6ebf4b6889183fe?cid=0bb3eb6005f44507983d0b4982473814,11,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1782d95dc9d4a3b9f38476a1608
24,25,能遇見，就很不錯了,Firdhaus,能遇見，就很不錯了,2024-06-30,66,229655,False,2ASWo8MTESnHQhJhpMSPbF,https://p.scdn.co/mp3-preview/119ab85eeabd7353fb4f2ecaad1533b76d5c82a5?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1786f9e419c4ae583483afcd152
25,26,Armageddon,aespa,Armageddon - The 1st Album,2024-05-27,75,196466,False,5eWcGfUCrVFMoYskyfkEPE,https://p.scdn.co/mp3-preview/d56cbbdb9029755189dd4e81a9fb7698e8346094?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178f7a1090ad3a35a34fc0ecb57
26,27,Espresso,Sabrina Carpenter,Short n' Sweet,2024-08-23,88,175459,True,2HRqTpkrJO5ggZyyK6NPWz,,7,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178e053b8338322b9c8609ee7ae
27,28,Night Changes,One Direction,FOUR (Deluxe),2014-11-17,90,226600,False,5O2P9iiztwhomNh8xkR9lJ,https://p.scdn.co/mp3-preview/359be833b46b250c696bbb64caa5dc91f2a38c6a?cid=0bb3eb6005f44507983d0b4982473814,7,Asia,Taiwan,https://i.scdn.co/image/45741ba38b51130bb96e00c0e24d17ba311a9293
28,29,如果爱忘了 - Live,Silence Wang,如果爱忘了 (Live),2024-02-27,65,245394,False,4JBZuPALOvU2PC8E7t02vY,https://p.scdn.co/mp3-preview/b815fb2a9233257391296c669a21c0afd5c107f1?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178e031c2c433fefe3fd10f5caa
29,30,CRAZY,LE SSERAFIM,CRAZY (Party Remixes 1),2024-09-02,80,164554,False,4gxEY3Mh5FZZDAJAKPNrCS,https://p.scdn.co/mp3-preview/c87839ff1ddad65a7ebb758bae38fee971dceab2?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f178d7d7064b17d00c6f8755eae6
30,31,七里香,Jay Chou,七里香,2004-08-03,56,297200,False,2g1MHSbgxhcOEKpeWG4pZT,https://p.scdn.co/mp3-preview/e9973e65f0c8447ba584ead6b40291d309be4fbf?cid=0bb3eb6005f44507983d0b4982473814,2,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17802b3aa55ba238b2ceafb09da
31,32,MEOW,MEOVV,MEOW,2024-09-06,76,172073,False,72gPDy1zVt95zVNali0IhK,https://p.scdn.co/mp3-preview/ff26addebdc76c5f8ba10bc525f01bad52f95989?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1784a73e7e22c86df6feeb81379
32,33,這麼多年 - 電影《我想和你在一起》插曲,陳華,這麼多年 - 電影《我想和你在一起》插曲,2024-06-07,60,252000,False,5NykvdFrH8mejmohWZvIWo,https://p.scdn.co/mp3-preview/319aab0496c91a15ca993c7bc32717272b033161?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17852215ee8e96cfbb91da8f9c0
33,34,Hold On,高爾宣 OSN,Hold On,2024-06-14,63,180121,False,580BvW3DyUNoYFgQgoD2GI,https://p.scdn.co/mp3-preview/e6cab10e10082bbd817ef2152e37142a8bc7243b?cid=0bb3eb6005f44507983d0b4982473814,1,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f1784d833125cdb31b9110a95e01
34,35,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,2023-11-03,85,183550,True,2HRgqmZQC0MC7GeNuDIXHN,https://p.scdn.co/mp3-preview/c6f315711a77fba52139f54587afa7e7d16a1232?cid=0bb3eb6005f44507983d0b4982473814,3,Asia,Taiwan,https://i.scdn.co/image/ab6761610000f17840a7268dd742e5f63759b960
